UF,COD_UF,POP_2010,POP_2022,CRESCIMENTO_2022_2010
SP,35.0,41262199.0,44411238.0,3149039.0
SC,42.0,6248436.0,7610361.0,1361925.0
GO,52.0,6001789.0,7056495.0,1054706.0
PR,41.0,10444526.0,11444380.0,999854.0
MG,31.0,19597330.0,20539989.0,942659.0
MT,51.0,3035122.0,3658649.0,623527.0
PA,15.0,7581051.0,8120131.0,539080.0
AM,13.0,3483985.0,3941613.0,457628.0
CE,23.0,8451644.0,8794957.0,343313.0
ES,32.0,3514952.0,3833712.0,318760.0
MS,50.0,2449024.0,2757013.0,307989.0
PE,26.0,8796055.0,9058931.0,262876.0
DF,53.0,2572159.0,2817381.0,245222.0
PB,25.0,3766528.0,3974687.0,208159.0
MA,21.0,6574789.0,6776699.0,201910.0
RS,43.0,10693929.0,10882965.0,189036.0
RR,14.0,450479.0,636707.0,186228.0
PI,22.0,3119097.0,3271199.0,152102.0
SE,28.0,2067852.0,2210004.0,142152.0
RN,24.0,3168027.0,3302729.0,134702.0
TO,17.0,1383445.0,1511460.0,128015.0
BA,29.0,14017071.0,14141626.0,124555.0
AC,12.0,733559.0,830018.0,96459.0
RJ,33.0,15989929.0,16055174.0,65245.0
AP,16.0,669526.0,733759.0,64233.0
RO,11.0,1562409.0,1581196.0,18787.0
AL,27.0,3120887.0,3127683.0,6796.0
